Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteArchivoCsv,Chrome 113.0.0.0,,,2023-05-29 12:30:09,2023-05-29 12:30:59,"49,560s",PASSED
,,,,,,,
Test Cases/CasoWebConArchivoCsv,Chrome 113.0.0.0,,,2023-05-29 12:30:10,2023-05-29 12:30:28,"18,631s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-29 12:30:10,2023-05-29 12:30:14,"3,680s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-29 12:30:14,2023-05-29 12:30:19,"5,058s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-29 12:30:19,2023-05-29 12:30:19,"0,228s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-29 12:30:19,2023-05-29 12:30:20,"0,405s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-29 12:30:20,2023-05-29 12:30:21,"1,193s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-29 12:30:21,2023-05-29 12:30:22,"1,299s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), fullName)",Chrome 113.0.0.0,,,2023-05-29 12:30:22,2023-05-29 12:30:24,"1,659s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), email)",Chrome 113.0.0.0,,,2023-05-29 12:30:24,2023-05-29 12:30:25,"0,971s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), currentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:30:25,2023-05-29 12:30:26,"0,862s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), permanentAddress)",Chrome 113.0.0.0,,,2023-05-29 12:30:26,2023-05-29 12:30:27,"0,911s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-29 12:30:27,2023-05-29 12:30:27,"0,475s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-29 12:30:27,2023-05-29 12:30:27,"0,490s",PASSED
