Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteDiferentesTest,Chrome 113.0.0.0,,,2023-05-31 09:43:48,2023-05-31 09:44:21,"33,024s",PASSED
,,,,,,,
Test Cases/CasoDesktop/CasoDesktop,Chrome 113.0.0.0,,,2023-05-31 09:43:48,2023-05-31 09:44:04,"15,182s",PASSED
"startApplicationWithTitle(""C:\Program Files\Windows NT\Accessories\wordpad.exe"", ""PruebaKatalon"")",Chrome 113.0.0.0,,,2023-05-31 09:43:49,2023-05-31 09:43:54,"4,844s",PASSED
"setText(findWindowsObject(""Object Repository/CasoDesktop/Document""), ""Prueba Katalon Desktop 31/07/2023"")",Chrome 113.0.0.0,,,2023-05-31 09:43:54,2023-05-31 09:43:57,"3,770s",PASSED
closeApplication(),Chrome 113.0.0.0,,,2023-05-31 09:43:57,2023-05-31 09:44:03,"5,137s",PASSED
"click(findWindowsObject(""Object Repository/CasoDesktop/Button""))",Chrome 113.0.0.0,,,2023-05-31 09:44:03,2023-05-31 09:44:04,"0,927s",PASSED
,,,,,,,
Test Cases/CasoConVariablesSinExcel/CasoWebConVariables,Chrome 113.0.0.0,,,2023-05-31 09:44:04,2023-05-31 09:44:21,"17,459s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-31 09:44:04,2023-05-31 09:44:06,"1,899s",PASSED
"navigateToUrl(""https://demoqa.com/"")",Chrome 113.0.0.0,,,2023-05-31 09:44:06,2023-05-31 09:44:11,"5,278s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-31 09:44:11,2023-05-31 09:44:11,"0,174s",PASSED
waitForPageLoad(30),Chrome 113.0.0.0,,,2023-05-31 09:44:11,2023-05-31 09:44:12,"0,259s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/div_Elements""))",Chrome 113.0.0.0,,,2023-05-31 09:44:12,2023-05-31 09:44:12,"0,569s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/li_Text Box""))",Chrome 113.0.0.0,,,2023-05-31 09:44:12,2023-05-31 09:44:14,"1,874s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Full Name_userName""), ""Juan Cruz Mouhape"")",Chrome 113.0.0.0,,,2023-05-31 09:44:14,2023-05-31 09:44:15,"1,047s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/input_Email_userEmail""), ""pruebademo@gmail.com"")",Chrome 113.0.0.0,,,2023-05-31 09:44:15,2023-05-31 09:44:16,"0,873s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Current Address_currentAddress""), ""Pasaje San Luis 252"")",Chrome 113.0.0.0,,,2023-05-31 09:44:16,2023-05-31 09:44:17,"0,789s",PASSED
"setText(findTestObject(""Object Repository/Page_DEMOQA/textarea_Permanent Address_permanentAddress""), ""Pasaje San Luis 252"")",Chrome 113.0.0.0,,,2023-05-31 09:44:17,2023-05-31 09:44:18,"0,799s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 4)",Chrome 113.0.0.0,,,2023-05-31 09:44:18,2023-05-31 09:44:18,"0,412s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 113.0.0.0,,,2023-05-31 09:44:18,2023-05-31 09:44:19,"0,440s",PASSED
"retornoFullName = getText(findTestObject(""Object Repository/Page_DEMOQA/p_NameJuan Cruz Mouhape""))",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:19,"0,481s",PASSED
"fullNameLoad = retornoFullName.split("":"")",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:19,"0,003s",PASSED
"verifyMatch(fullName, fullNameLoad[1], false)",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:19,"0,038s",PASSED
"retornoEmail = getText(findTestObject(""Object Repository/Page_DEMOQA/p_Emailpruebademogmail.com""))",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:19,"0,374s",PASSED
"emailLoad = retornoEmail.split("":"")",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:19,"0,001s",PASSED
"verifyMatch(email, emailLoad[1], false)",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:19,"0,003s",PASSED
"retornoAddress = getText(findTestObject(""Object Repository/Page_DEMOQA/p_Current Address Pasaje San Luis 252""))",Chrome 113.0.0.0,,,2023-05-31 09:44:19,2023-05-31 09:44:20,"0,396s",PASSED
"addressLoad = retornoAddress.split("":"")",Chrome 113.0.0.0,,,2023-05-31 09:44:20,2023-05-31 09:44:20,"0,001s",PASSED
"verifyMatch(currentAddress, addressLoad[1], false)",Chrome 113.0.0.0,,,2023-05-31 09:44:20,2023-05-31 09:44:20,"0,003s",PASSED
"retornoAddressPermanent = getText(findTestObject(""Object Repository/Page_DEMOQA/p_Permananet Address Pasaje San Luis 252""))",Chrome 113.0.0.0,,,2023-05-31 09:44:20,2023-05-31 09:44:20,"0,370s",PASSED
"addressPermanentLoad = retornoAddressPermanent.split("":"")",Chrome 113.0.0.0,,,2023-05-31 09:44:20,2023-05-31 09:44:20,"0,000s",PASSED
"verifyMatch(permanentAddress, addressPermanentLoad[1], false)",Chrome 113.0.0.0,,,2023-05-31 09:44:20,2023-05-31 09:44:20,"0,004s",PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-31 09:44:20,2023-05-31 09:44:21,"0,804s",PASSED
